eye_am_pyth0n@mac108:~$ ./mac108-project/term_monitor.py                               WARNING: 2.57.122.238 has 2 failed attempt(s), 0 accepted                              WARNING: 2.57.122.238 has 3 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 93 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 94 failed attempt(s), 0 accepted
WARNING: 2.57.122.189 has 2 failed attempt(s), 0 accepted
WARNING: 2.57.122.189 has 3 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 95 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 132 failed attempt(s), 0 accepted
WARNING: 2.57.122.189 has 4 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 96 failed attempt(s), 0 accepted
WARNING: 2.57.122.189 has 5 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 97 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 98 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 99 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 100 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 101 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 102 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 103 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 104 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 105 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 106 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 107 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 108 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 109 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 110 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 111 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 112 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 113 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 133 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 114 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 115 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 116 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 117 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 118 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 119 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 120 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 121 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 122 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 123 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 124 failed attempt(s), 0 accepted
WARNING: 92.118.39.197 has 4 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 125 failed attempt(s), 0 accepted
WARNING: 92.118.39.197 has 5 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 126 failed attempt(s), 0 accepted
WARNING: 92.118.39.197 has 6 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 127 failed attempt(s), 0 accepted
WARNING: 92.118.39.197 has 7 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 128 failed attempt(s), 0 accepted
WARNING: 92.118.39.197 has 8 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 129 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 130 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 134 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 131 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 132 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 133 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 134 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 135 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 136 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 137 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 138 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 139 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 140 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 141 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 142 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 143 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 144 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 145 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 146 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 147 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 148 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 149 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 135 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 150 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 151 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 152 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 153 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 154 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 155 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 156 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 157 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 158 failed attempt(s), 0 accepted
WARNING: 2.57.122.193 has 2 failed attempt(s), 0 accepted
WARNING: 2.57.122.193 has 3 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 159 failed attempt(s), 0 accepted
WARNING: 2.57.122.193 has 4 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 160 failed attempt(s), 0 accepted
WARNING: 2.57.122.193 has 5 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 161 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 162 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 163 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 164 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 165 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 136 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 166 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 167 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 168 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 169 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 170 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 171 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 172 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 173 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 174 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 175 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 176 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 177 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 178 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 179 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 180 failed attempt(s), 0 accepted
WARNING: 89.167.124.202 has 137 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 181 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 182 failed attempt(s), 0 accepted
WARNING: 185.39.118.137 has 183 failed attempt(s), 0 accepted
